NPI,Segment
1295711760,Community
1912962945,Community
1336180090,Community
1821098724,Community
1447395991,Community
1457351975,
1427200799,
1437127099,
1689674715,Community
1609985704,Community
1164472890,Community
1982777835,
1104999739,
1710091806,
1477650901,Community
1386767630,Community
1841241205,Community
1043250145,Community
1801837331,Community
1144327008,Community
1811992928,Community
1376515742,Community
1306884416,Community
1962593822,Community
1538137450,Community
1801888474,Community
1407851728,Big 3
1306964309,Community
1992783823,
1104875947,Community
1891894531,Community
1811083504,
1477558682,Community
1699804542,
1134197981,Community
1982625406,Community
1730172685,Unstructured Experts
1811972391,Community
1801995329,Community
1902972227,Community
1861682981,Community
1184684201,Community
1104910488,Community
1922160811,Community
1619953460,
1255376075,
1922062116,Community
1629076906,Community
1487615795,Community
1083653323,Community
1255536959,
1457339350,Community
1902882855,Community
1124189071,
1245289164,Established Experts
1457354334,Community
1881756633,Community
1417956525,Community
1902915507,Community
1821042862,Community
1588620041,Community
1205890613,Unstructured Experts
1467445833,Unstructured Experts
1013913318,
1043388242,Community
1316926140,Community
1619971157,Community
1952309510,Community
1043287113,Community
1407947047,
1457342412,Community
1023005261,Community
1073666749,Community
1992877278,Community
1659381754,Community
1710068796,Community
1265456982,Community
1346246527,Community
1578567343,Community
1326153941,Community
1710915210,Community
1730173592,Unstructured Experts
1487615407,
1811962616,Community
1427073543,Community
1508848144,Community
1740315589,Community
1538110424,Community
1790788586,Community
1134124563,Community
1164469144,Community
1841277142,Rising Stars
1871543991,Community
1871599407,Community
1568409506,Community
1437195591,Community
1902857980,Community
1548290976,Big 3
1598760712,Community
1538185814,
1003884925,Community
1689758138,
1497770572,Community
1730179623,Community
1538110630,Community
1568451821,Community
1407906928,Community
1649273152,Community
1487769808,
1245222595,Community
1912957101,
1043271828,Community
1629006630,Community
1265423313,Community
1881731222,Community
1972590164,Community
1083612469,Community
1578586400,Community
1740277888,Community
1548243793,Community
1689732042,Community
1538238456,Community
1134106164,Community
1699706184,Established Experts
1194789628,Established Experts
1497768428,Community
1831155704,Community
1588655823,Community
1831373919,Community
1245289594,Established Experts
1891759098,
1548259815,Community
1619067816,Community
1548251093,Community
1235186263,Big 3
1295792968,Community
1396836938,Unstructured Experts
1508872821,Community
1073574539,Community
1255323341,
1396711503,Community
1821103573,Community
1265497622,Community
1134179336,Rising Stars
1699724302,Community
1245293489,Community
1679583074,Community
1912085937,Community
1285641225,Rising Stars
1275534042,Community
1275578890,Unstructured Experts
1306824255,Community
1174530448,Community
1730243502,Community
1760480081,Community
